Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
BMW,BMW M4 M440i,2021,46 000 km,2 998 cm3,Benzina,57 949
BMW,BMW X2,2018,105 363 km,1 995 cm3,Diesel,24 400
BMW,BMW 5,2017,206 000 km,1 995 cm3,Diesel,23 400
BMW,BMW 1,2008,160 000 km,1 596 cm3,Benzina,4 800
BMW,BMW 3,2007,145 000 km,2 979 cm3,Benzina,15 700
BMW,BMW X1 xDrive20d,2011,218 000 km,1 995 cm3,Diesel,9 950
BMW,BMW X4 xDrive20d,2014,192 000 km,1 995 cm3,Diesel,19 700
BMW,BMW 5,2014,197 000 km,2 993 cm3,Diesel,17 950
BMW,BMW 5,2011,277 490 km,1 995 cm3,Diesel,10 400
BMW,BMW X5 xDrive30d,2014,173 000 km,2 993 cm3,Diesel,31 900
BMW,BMW X5 xDrive35d,2011,132 301 km,2 993 cm3,Diesel,15 500
BMW,BMW X5 xDrive30d,2013,279 500 km,2 993 cm3,Diesel,17 900
BMW,BMW X3 xDrive30i,2018,13 000 km,1 998 cm3,Benzina,39 700
BMW,BMW X5 xDrive35d,2011,139 906 km,2 993 cm3,Diesel,15 500
BMW,BMW 5,2011,223 000 km,1 997 cm3,Benzina,16 200
BMW,BMW 7,2023,24 321 km,2 993 cm3,Diesel,95 498
BMW,BMW X3 xDrive20d,2020,142 791 km,1 995 cm3,Diesel,32 989
BMW,BMW X1 sDrive16d,2017,210 589 km,1 496 cm3,Diesel,13 490
BMW,BMW 7,2016,207 349 km,2 993 cm3,Diesel,31 951
BMW,BMW X7 xDrive40d,2022,66 200 km,2 993 cm3,Diesel,78 778
BMW,BMW X3 xDrive30d,2018,105 626 km,2 993 cm3,Diesel,36 771
BMW,BMW X1 xDrive20d,2017,200 190 km,1 995 cm3,Diesel,18 988
BMW,BMW 7,2017,181 500 km,2 993 cm3,Diesel,35 999
BMW,BMW 3,2012,112 778 km,2 996 cm3,Benzina,15 990
BMW,BMW 3,2013,241 000 km,1 995 cm3,Diesel,11 990
BMW,BMW X5 xDrive30d,2013,284 127 km,2 993 cm3,Diesel,22 850
BMW,BMW 1,2010,253 000 km,1 995 cm3,Diesel,5 250
BMW,BMW X6 xDrive30d,2021,26 329 km,2 993 cm3,Diesel,79 825
BMW,BMW 3,2008,185 000 km,2 993 cm3,Diesel,7 800
BMW,BMW 5,2015,228 900 km,1 995 cm3,Diesel,14 900
BMW,BMW 6,2017,136 000 km,2 995 cm3,Benzina,31 500
BMW,BMW X4,2023,19 700 km,1 995 cm3,Diesel,61 880
BMW,BMW 3,2006,243 000 km,1 995 cm3,Benzina,4 599
BMW,BMW 5,2018,141 234 km,1 995 cm3,Diesel,33 000
BMW,BMW X3 xDrive20d,2011,275 000 km,1 995 cm3,Diesel,8 990
BMW,BMW X6 M,2017,153 763 km,4 395 cm3,Benzina,46 500
BMW,BMW 5,2013,278 587 km,1 995 cm3,Diesel,12 900
BMW,BMW 3,2006,234 000 km,1 995 cm3,Benzina,4 999
BMW,BMW X6 xDrive40d,2022,14 999 km,2 993 cm3,Diesel,74 900
BMW,BMW X5 xDrive30d,2018,77 500 km,2 993 cm3,Diesel,39 000
BMW,BMW 7,2017,139 559 km,2 993 cm3,Diesel,49 319
BMW,BMW 3,2020,151 640 km,1 998 cm3,Benzina,30 990
BMW,BMW X4 xDrive20d,2019,128 200 km,1 995 cm3,Diesel,35 498
BMW,BMW X1 xDrive23i,2023,6 000 km,1 998 cm3,Benzina,47 600
BMW,BMW 3,2017,249 000 km,1 995 cm3,Diesel,13 500
BMW,BMW 2,2019,81 000 km,1 499 cm3,Hibrid Plug-In,21 900
BMW,BMW 3,2017,113 128 km,1 995 cm3,Diesel,19 500
BMW,BMW 7,2016,160 000 km,2 993 cm3,Diesel,30 900
BMW,BMW X7 xDrive40i,2024,1 km,2 998 cm3,Benzina,121 900
BMW,BMW 5,2020,140 000 km,1 998 cm3,Hibrid Plug-In,31 000
Mercedes-Benz,GLE AMG,2021,17 000 km,3 982 cm3,Benzina,151 130
Mercedes-Benz,CLA,2015,141 000 km,1 461 cm3,Diesel,20 900
Mercedes-Benz,GLB,2020,37 000 km,1 950 cm3,Diesel,40 341
Mercedes-Benz,GLE Coupe,2022,50 000 km,2 925 cm3,Diesel,94 593
Mercedes-Benz,GLK,2015,102 500 km,2 143 cm3,Diesel,26 000
Mercedes-Benz,GLS,2016,94 000 km,2 987 cm3,Diesel,44 490
Mercedes-Benz,GLC Coupe,2018,109 000 km,2 143 cm3,Diesel,39 151
Mercedes-Benz,X,2019,69 000 km,2 987 cm3,Diesel,49 504
Mercedes-Benz,E AMG,2020,29 000 km,3 982 cm3,Benzina,124 950
Mercedes-Benz,GLC Coupe,2017,157 000 km,2 143 cm3,Diesel,39 258
Mercedes-Benz,G,2022,21 000 km,3 982 cm3,Benzina,163 018
Mercedes-Benz,GLE Coupe,2016,89 200 km,2 987 cm3,Diesel,47 481
Mercedes-Benz,GLC Coupe,2017,113 000 km,2 996 cm3,Benzina,46 398
Mercedes-Benz,GLE Coupe,2015,188 000 km,2 987 cm3,Diesel,41 055
Mercedes-Benz,C,2012,132 500 km,6 208 cm3,Benzina,54 000
Mercedes-Benz,C AMG,2016,101 000 km,3 982 cm3,Benzina,66 640
Mercedes-Benz,G,2017,135 000 km,5 461 cm3,Benzina,86 870
Mercedes-Benz,GLE,2016,149 000 km,2 987 cm3,Diesel,33 082
Mercedes-Benz,GLC,2019,66 000 km,1 991 cm3,Benzina,47 005
Mercedes-Benz,C,2021,19 950 km,1 993 cm3,Diesel,40 460
Mercedes-Benz,G,2022,23 000 km,2 925 cm3,Diesel,141 900
Mercedes-Benz,GLB,2022,7 500 km,1 332 cm3,Benzina,49 968
Mercedes-Benz,E,2018,123 000 km,1 991 cm3,Benzina,31 878
Mercedes-Benz,C,2014,206 000 km,1 595 cm3,Benzina,21 776
Mercedes-Benz,AMG GT-S,2022,10 000 km,2 999 cm3,Benzina,141 610
Mercedes-Benz,GLS AMG,2022,10 000 km,3 982 cm3,Benzina,178 500
Mercedes-Benz,GLC,2017,150 000 km,2 143 cm3,Diesel,29 155
Mercedes-Benz,GLE AMG,2021,19 900 km,2 999 cm3,Benzina,102 340
Mercedes-Benz,E,2021,27 500 km,1 950 cm3,Hibrid Plug-In,57 120
Mercedes-Benz,GLC,2020,24 000 km,1 950 cm3,Diesel,52 348
Mercedes-Benz,GLC,2017,290 000 km,2 143 cm3,Diesel,24 395
Mercedes-Benz,V,2021,36 500 km,1 950 cm3,Diesel,61 868
Mercedes-Benz,V,2016,173 000 km,2 143 cm3,Diesel,45 990
Mercedes-Benz,GLC,2021,86 056 km,1 999 cm3,Hibrid Plug-In,49 900
Mercedes-Benz,GLC,2018,126 923 km,1 991 cm3,Hibrid Plug-In,30 928
Mercedes-Benz,E,2019,79 497 km,1 991 cm3,Hibrid Plug-In,35 688
Mercedes-Benz,GLA,2023,3 000 km,1 332 cm3,Hibrid Plug-In,52 360
Mercedes-Benz,A,2023,3 000 km,1 332 cm3,Hibrid Plug-In,49 980
Mercedes-Benz,GLE,2023,10 km,1 999 cm3,Hibrid Plug-In,121 380
Mercedes-Benz,E,2023,3 069 km,1 999 cm3,Hibrid Plug-In,99 307
Mercedes-Benz,GLC Coupe,2024,5 km,1 999 cm3,Hibrid Plug-In,104 125
Mercedes-Benz,GLA,2024,1 km,1 332 cm3,Hibrid Plug-In,59 488
Mercedes-Benz,A,2018,135 000 km,1 332 cm3,Benzina,17 500
Mercedes-Benz,A,2013,217 700 km,2 143 cm3,Diesel,13 690
Mercedes-Benz,A,2008,68 600 km,1 991 cm3,Diesel,6 490
Mercedes-Benz,A,2018,90 000 km,1 991 cm3,Benzina,22 015
Mercedes-Benz,A,2013,180 000 km,1 796 cm3,Diesel,10 900
Mercedes-Benz,A,2016,59 000 km,2 143 cm3,Diesel,18 000
Mercedes-Benz,A,2015,145 000 km,1 595 cm3,Benzina,13 990
Mercedes-Benz,A,2007,200 000 km,1 991 cm3,Diesel,2 500
Mercedes-Benz,B,2019,237 500 km,2 143 cm3,Diesel,12 990
Mercedes-Benz,B,2014,159 000 km,1 595 cm3,Benzina,13 999
Mercedes-Benz,B,2005,257 000 km,1 991 cm3,Diesel,3 499
Mercedes-Benz,B,2016,196 700 km,2 143 cm3,Diesel,10 499
Mercedes-Benz,B,2019,142 166 km,1 461 cm3,Diesel,20 990
Mercedes-Benz,B,2021,46 839 km,1 332 cm3,Hibrid,33 310
Mercedes-Benz,B,2021,149 331 km,1 461 cm3,Diesel,19 949
Mercedes-Benz,B,2019,46 500 km,1 461 cm3,Diesel,22 900
Mercedes-Benz,B,2014,206 000 km,1 796 cm3,Diesel,8 559
Mercedes-Benz,B,2010,182 158 km,1 991 cm3,Diesel,6 300
Mercedes-Benz,B,2019,299 000 km,1 950 cm3,Diesel,15 490
Mercedes-Benz,B,2020,140 000 km,1 461 cm3,Diesel,18 950
Mercedes-Benz,CLA,2015,99 126 km,1 595 cm3,Benzina,16 990
Mercedes-Benz,CLA,2020,145 900 km,1 461 cm3,Diesel,22 499
Mercedes-Benz,CLA,2024,10 057 km,1 332 cm3,Benzina,54 999
Mercedes-Benz,CLA,2018,160 300 km,1 461 cm3,Diesel,18 399
Mercedes-Benz,CLA,2024,9 km,1 991 cm3,Benzina,59 500
Mercedes-Benz,CLA AMG,2020,36 730 km,1 991 cm3,Benzina,58 894
Mercedes-Benz,CLA,2018,88 000 km,2 143 cm3,Diesel,21 000
Mercedes-Benz,CLA,2019,66 000 km,1 991 cm3,Benzina,36 500
Mercedes-Benz,CLA,2024,1 km,1 332 cm3,Hibrid Plug-In,60 440
Mercedes-Benz,CLA,2020,60 000 km,1 991 cm3,Benzina,38 000
Mercedes-Benz,CLA,2024,8 km,1 332 cm3,Benzina,54 313
Mercedes-Benz,CLA,2022,14 736 km,1 332 cm3,Hibrid Plug-In,35 900
Mercedes-Benz,CLA AMG,2020,45 000 km,1 991 cm3,Benzina,53 979
Mercedes-Benz,CLE,2023,20 km,1 999 cm3,Benzina,83 549
Mercedes-Benz,CLE,2023,2 km,1 999 cm3,Hibrid,80 253
Mercedes-Benz,CLE,2023,2 km,1 999 cm3,Benzina,80 087
Mercedes-Benz,CLE,2024,6 km,1 999 cm3,Benzina,74 936
Mercedes-Benz,CLE,2023,10 km,1 999 cm3,Benzina,79 696
Mercedes-Benz,CLK,2004,203 500 km,1 796 cm3,Benzina,5 800
Mercedes-Benz,CLK,2004,205 185 km,1 796 cm3,Benzina,6 300
Mercedes-Benz,CLK,2007,284 000 km,2 148 cm3,Diesel,4 490
Mercedes-Benz,CLK Coupe,2007,248 600 km,1 796 cm3,Benzina,8 800
Mercedes-Benz,CLK,2004,279 546 km,1 796 cm3,Benzina,4 500
Mercedes-Benz,CLK Cabrio,2009,199 000 km,1 796 cm3,Benzina,8 900
Mercedes-Benz,CLK,2003,207 597 km,1 796 cm3,Benzina,3 950
Mercedes-Benz,CLK,1999,119 500 km,1 998 cm3,Benzina,5 500
Mercedes-Benz,CLK,2003,333 000 km,2 685 cm3,Diesel,3 850
Mercedes-Benz,CLS AMG,2020,119 400 km,2 999 cm3,Benzina,61 999
Mercedes-Benz,CLS,2018,98 900 km,2 925 cm3,Diesel,45 500
Mercedes-Benz,CLS,2019,68 000 km,2 999 cm3,Benzina,53 538
Mercedes-Benz,CLS,2021,40 810 km,2 999 cm3,Benzina,54 899
Mercedes-Benz,CLS Shooting,2016,209 000 km,2 143 cm3,Diesel,21 990
Mercedes-Benz,CLS,2016,95 300 km,2 987 cm3,Diesel,28 500
Mercedes-Benz,CLS,2013,232 581 km,2 987 cm3,Diesel,17 950
Mercedes-Benz,CLS,2017,80 000 km,2 987 cm3,Diesel,39 850
Mercedes-Benz,CLS,2015,214 000 km,2 143 cm3,Diesel,21 550
Mercedes-Benz,CLS,2022,7 591 km,2 999 cm3,Benzina,76 160
Mercedes-Benz,CLS Shooting,2015,247 000 km,2 987 cm3,Diesel,22 900
Mercedes-Benz,CLS,2014,171 000 km,2 995 cm3,Diesel,22 999
Mercedes-Benz,CLS,2019,158 000 km,2 925 cm3,Diesel,46 999
Mercedes-Benz,CLS,2015,190 000 km,2 143 cm3,Diesel,24 500
Mercedes-Benz,CLS,2012,185 000 km,2 987 cm3,Diesel,17 950
Mercedes-Benz,E,2016,181 000 km,1 950 cm3,Diesel,25 900
Mercedes-Benz,E,2019,144 500 km,1 991 cm3,Benzina,29 800
Mercedes-Benz,E,2016,282 200 km,2 143 cm3,Diesel,11 999
Mercedes-Benz,E,2020,84 000 km,1 991 cm3,Benzina,34 900
Mercedes-Benz,E,2009,298 200 km,2 143 cm3,Diesel,9 999
Mercedes-Benz,E,2020,65 000 km,1 950 cm3,Diesel,47 243
Mercedes-Benz,E,2013,197 229 km,2 143 cm3,Diesel,15 990
Mercedes-Benz,E,2018,269 000 km,1 950 cm3,Diesel,17 900
Mercedes-Benz,E,2016,330 000 km,1 950 cm3,Diesel,17 300
Mercedes-Benz,E,2018,218 300 km,1 950 cm3,Diesel,23 999
Mercedes-Benz,E,2022,56 700 km,1 597 cm3,Diesel,35 990
Mercedes-Benz,E,2010,330 000 km,2 143 cm3,Diesel,7 500
Mercedes-Benz,E,2010,350 000 km,2 143 cm3,Diesel,7 250
Mercedes-Benz,E,2016,255 000 km,2 143 cm3,Diesel,13 000
Mercedes-Benz,E,2023,1 km,1 991 cm3,Benzina,67 592
Mercedes-Benz,E,2018,184 000 km,1 950 cm3,Diesel,25 300
Mercedes-Benz,E,2021,64 200 km,1 991 cm3,Benzina,45 900
Mercedes-Benz,E,2023,3 000 km,1 993 cm3,Hibrid Plug-In,91 451
Mercedes-Benz,E,2002,244 000 km,2 685 cm3,Diesel,3 950
Mercedes-Benz,E,2011,319 000 km,2 143 cm3,Diesel,10 700
Mercedes-Benz,E,2017,170 000 km,1 950 cm3,Diesel,24 900
Mercedes-Benz,E,2019,85 000 km,1 950 cm3,Diesel,37 200
Mercedes-Benz,E,2023,34 527 km,1 993 cm3,Diesel,44 899
Mercedes-Benz,E,2017,180 000 km,1 950 cm3,Diesel,28 490
Mercedes-Benz,E,2011,204 000 km,2 143 cm3,Diesel,10 490
Mercedes-Benz,E,2023,26 000 km,1 991 cm3,Benzina,38 000
Mercedes-Benz,E,2017,148 500 km,1 950 cm3,Diesel,23 400
Mercedes-Benz,E,2020,95 000 km,1 993 cm3,Diesel,38 000
Mercedes-Benz,E,2006,264 000 km,2 987 cm3,Diesel,7 499
Mercedes-Benz,E,2003,300 000 km,2 148 cm3,Diesel,2 800
Mercedes-Benz,E,2006,73 867 km,2 987 cm3,Diesel,22 969
Mercedes-Benz,E,2010,300 000 km,2 143 cm3,Diesel,6 600
Mercedes-Benz,E,2021,17 950 km,1 991 cm3,Hibrid,62 276
Mercedes-Benz,E,2010,415 000 km,2 143 cm3,Diesel,5 990
Mercedes-Benz,E,2014,160 000 km,2 143 cm3,Hibrid,14 490
Mercedes-Benz,E,2003,260 000 km,2 685 cm3,Diesel,3 800
Mercedes-Benz,E,2012,253 000 km,2 143 cm3,Diesel,11 850
Mercedes-Benz,E,2002,306 200 km,2 148 cm3,Diesel,3 990
Mercedes-Benz,E,2017,102 000 km,2 996 cm3,Benzina,44 900
Mercedes-Benz,E,2017,118 000 km,1 991 cm3,Benzina,34 650
Mercedes-Benz,E AMG,2019,41 000 km,2 999 cm3,Benzina,53 500
Mercedes-Benz,E,2003,195 000 km,2 148 cm3,Diesel,3 500
Mercedes-Benz,E,2018,200 000 km,1 950 cm3,Diesel,21 700
Mercedes-Benz,E,2023,5 km,1 999 cm3,Hibrid,97 461
Mercedes-Benz,E,2016,196 000 km,1 950 cm3,Diesel,22 900
Mercedes-Benz,E,2017,406 799 km,1 950 cm3,Diesel,19 989
Mercedes-Benz,S,2015,126 500 km,5 461 cm3,Benzina,59 899
Mercedes-Benz,S,2015,147 522 km,2 987 cm3,Diesel,36 499
Mercedes-Benz,S,2017,139 672 km,2 925 cm3,Diesel,59 262
Mercedes-Benz,S,2021,70 000 km,2 925 cm3,Diesel,119 000
Mercedes-Benz,S,2021,25 730 km,2 999 cm3,Hibrid,113 000
Mercedes-Benz,S AMG,2018,187 821 km,3 982 cm3,Benzina,66 640
Mercedes-Benz,S,2015,438 838 km,2 143 cm3,Hibrid,28 999
Mercedes-Benz,S,2020,116 373 km,2 925 cm3,Diesel,91 630
Mercedes-Benz,S,2023,6 km,2 999 cm3,Benzina,164 208
Mercedes-Benz,S,2023,30 250 km,2 999 cm3,Benzina,159 449
Mercedes-Benz,S AMG,2023,10 km,3 982 cm3,Hibrid Plug-In,281 618
Mercedes-Benz,S,2024,6 km,2 999 cm3,Benzina,174 045
Mercedes-Benz,S,2024,2 km,2 989 cm3,Diesel,158 885
Mercedes-Benz,S,2014,230 000 km,4 663 cm3,Benzina,29 900
Mercedes-Benz,S,2023,19 300 km,2 925 cm3,Diesel,136 800
Mercedes-Benz,S,2010,215 615 km,2 987 cm3,Diesel,15 490
Mercedes-Benz,S,2021,98 000 km,2 925 cm3,Diesel,84 700
Mercedes-Benz,S,2016,190 000 km,2 925 cm3,Diesel,39 990
Mercedes-Benz,S,2018,143 000 km,2 925 cm3,Diesel,55 990
Mercedes-Benz,S,2017,76 000 km,5 461 cm3,Benzina,113 050
Skoda,Fabia Combi,2018,96 000 km,999 cm3,Benzina,6 750
Skoda,Superb,2016,73 089 km,1 968 cm3,Diesel,24 455
Skoda,Octavia Combi,2019,92 956 km,1 598 cm3,Diesel,15 490
Skoda,Roomster,2011,190 000 km,1 197 cm3,Benzina,4 990
Skoda,Fabia,2024,8 km,999 cm3,Benzina,24 458
Skoda,Fabia,2005,223 660 km,1 198 cm3,Benzina,1 990
Skoda,Karoq,2020,177 419 km,1 968 cm3,Diesel,21 749
Skoda,Octavia,2021,91 000 km,999 cm3,Benzina,17 750
Skoda,Octavia,2017,152 653 km,1 598 cm3,Diesel,12 300
Skoda,Octavia,2016,113 000 km,1 598 cm3,Diesel,10 950
Skoda,Octavia,2013,159 000 km,1 798 cm3,Benzina,11 348
Skoda,Octavia,2011,241 827 km,1 598 cm3,Diesel,6 490
Skoda,Octavia Combi,2018,209 253 km,1 598 cm3,Diesel,11 949
Skoda,Fabia,2012,262 020 km,2 199 cm3,Diesel,3 990
Skoda,Scala,2020,232 000 km,1 598 cm3,Diesel,10 789
Skoda,Octavia,2021,33 313 km,999 cm3,Benzina,17 490
Skoda,Octavia,2024,6 km,1 498 cm3,Benzina,28 047
Skoda,Octavia,2008,252 296 km,1 896 cm3,Diesel,4 490
Skoda,Octavia,2016,181 012 km,1 197 cm3,Benzina,7 850
Skoda,Superb,2009,258 000 km,1 896 cm3,Diesel,7 999
Skoda,Octavia,2021,10 300 km,1 984 cm3,Benzina,34 000
Skoda,Octavia,2015,221 000 km,1 968 cm3,Diesel,9 190
Skoda,Superb,2010,268 137 km,1 798 cm3,Benzina,5 690
Skoda,Scala,2019,66 000 km,1 598 cm3,Diesel,17 100
Skoda,Karoq,2018,130 000 km,1 498 cm3,Benzina,23 000
Skoda,Octavia,2016,142 000 km,1 798 cm3,Benzina,15 490
Skoda,Octavia,2018,138 511 km,1 598 cm3,Diesel,14 946
Skoda,Octavia,2020,81 754 km,1 968 cm3,Diesel,19 499
Skoda,Octavia,2018,137 676 km,1 598 cm3,Diesel,12 900
Skoda,Octavia,2023,4 578 km,1 968 cm3,Diesel,30 650
Skoda,Octavia,2024,6 km,1 968 cm3,Diesel,34 371
Skoda,Octavia,2014,66 000 km,1 798 cm3,Benzina,12 000
Skoda,Octavia Combi,2021,73 200 km,1 968 cm3,Diesel,21 900
Skoda,Octavia,2020,91 155 km,1 598 cm3,Diesel,13 950
Skoda,Octavia,2017,211 229 km,1 598 cm3,Diesel,11 990
Skoda,Superb,2019,183 000 km,1 968 cm3,Diesel,20 500
Skoda,RAPID,2017,120 337 km,1 598 cm3,Diesel,8 750
Skoda,Octavia,2019,131 203 km,1 598 cm3,Diesel,12 489
Skoda,Scala,2019,41 811 km,1 598 cm3,Diesel,18 899
Skoda,Superb,2020,150 000 km,1 498 cm3,Benzina,21 449
Skoda,Karoq,2024,576 km,1 498 cm3,Benzina,30 283
Skoda,Octavia,2017,175 000 km,1 968 cm3,Diesel,13 490
Skoda,Superb,2018,232 209 km,1 968 cm3,Diesel,12 980
Skoda,RAPID,2017,213 250 km,1 197 cm3,Benzina,9 990
Skoda,RAPID,2013,291 000 km,1 598 cm3,Diesel,5 990
Skoda,Scala,2020,142 059 km,1 598 cm3,Diesel,15 700
Skoda,Karoq,2023,1 km,1 968 cm3,Diesel,43 600
Skoda,Octavia,2018,235 000 km,1 968 cm3,Diesel,14 490
Skoda,Octavia Combi,2010,237 000 km,1 968 cm3,Diesel,7 590
Skoda,Fabia,2009,335 000 km,1 422 cm3,Diesel,3 550
Skoda,Fabia,2019,120 000 km,999 cm3,Benzina,10 489
Skoda,Kodiaq,2018,117 100 km,1 968 cm3,Diesel,25 490
Skoda,Kodiaq,2018,234 000 km,1 968 cm3,Diesel,18 500
Skoda,Scala,2022,4 550 km,999 cm3,Benzina,17 489
Skoda,Superb,2018,18 900 km,1 968 cm3,Diesel,23 800
Skoda,Karoq,2019,145 999 km,1 498 cm3,Benzina,18 700
Skoda,Octavia Combi,2019,168 294 km,1 968 cm3,Diesel,15 984
Skoda,Kodiaq,2019,136 656 km,1 968 cm3,Diesel,25 900
Skoda,Octavia,2014,210 775 km,1 197 cm3,Benzina,7 500
Skoda,RAPID,2018,102 298 km,999 cm3,Benzina,12 850
Skoda,RAPID,2015,215 000 km,1 598 cm3,Diesel,7 490
Skoda,Fabia,2011,192 000 km,1 390 cm3,Benzina,6 090
Skoda,Yeti,2012,214 000 km,1 968 cm3,Diesel,7 390
Skoda,Karoq,2021,71 668 km,1 968 cm3,Diesel,23 998
Skoda,Kodiaq,2018,126 523 km,1 968 cm3,Diesel,22 850
Skoda,Octavia,2018,94 519 km,999 cm3,Benzina,13 450
Skoda,Octavia,2018,62 629 km,999 cm3,Benzina,15 999
Skoda,Superb Combi,2020,45 378 km,1 395 cm3,Hibrid Plug-In,22 907
Skoda,Superb Combi,2020,139 532 km,1 395 cm3,Hibrid Plug-In,22 500
Skoda,Octavia,2020,121 228 km,1 968 cm3,Diesel,21 499
Skoda,Octavia,2018,181 660 km,1 968 cm3,Diesel,14 990
Skoda,Octavia Combi,2019,185 913 km,1 598 cm3,Diesel,12 784
Skoda,Octavia Combi,2019,171 659 km,1 968 cm3,Diesel,18 800
Skoda,Octavia,2019,189 350 km,1 598 cm3,Diesel,10 350
Skoda,Octavia,2012,279 000 km,1 984 cm3,Diesel,4 200
Skoda,Octavia,2017,92 696 km,1 598 cm3,Diesel,13 950
Skoda,Fabia,2020,119 500 km,999 cm3,Benzina,7 500
Skoda,Octavia,2018,193 000 km,1 968 cm3,Diesel,12 300
Skoda,Octavia,2011,213 000 km,1 197 cm3,Benzina,5 999
Skoda,Octavia,2018,102 000 km,1 968 cm3,Diesel,13 982
Skoda,RAPID,2018,133 811 km,1 598 cm3,Diesel,9 996
Skoda,Octavia,2018,226 130 km,1 968 cm3,Diesel,9 200
Skoda,Octavia Combi,2020,207 000 km,1 968 cm3,Diesel,11 990
Skoda,Fabia Combi,2017,210 000 km,1 422 cm3,Diesel,6 500
Skoda,Octavia,2020,80 417 km,1 498 cm3,Benzina,21 000
Skoda,Kodiaq,2018,165 000 km,1 968 cm3,Diesel,19 500
Skoda,Octavia,2016,157 000 km,1 598 cm3,Diesel,11 390
Skoda,Fabia,2017,264 000 km,999 cm3,Benzina + GPL,6 499
Skoda,Kodiaq,2018,231 912 km,1 968 cm3,Diesel,18 980
Skoda,Octavia,2018,80 500 km,999 cm3,Benzina,15 000
Skoda,Fabia,2017,174 000 km,1 197 cm3,Benzina,5 300
Skoda,Octavia,2018,230 000 km,1 968 cm3,Diesel,11 590
Skoda,Fabia,2011,186 000 km,1 198 cm3,Benzina,4 550
Skoda,Fabia,2011,149 000 km,1 198 cm3,Benzina,5 750
Skoda,Karoq,2018,137 878 km,1 968 cm3,Diesel,23 500
Skoda,Octavia Combi,2014,224 392 km,1 968 cm3,Diesel,10 690
Skoda,Octavia,2016,247 000 km,1 598 cm3,Diesel,8 700
Skoda,Superb,2019,141 000 km,1 968 cm3,Diesel,19 694
Skoda,Citigo,2014,86 000 km,999 cm3,Benzina,5 900
Skoda,Superb,2015,310 000 km,1 968 cm3,Diesel,11 400
Skoda,Octavia,2007,225 000 km,1 595 cm3,Benzina,3 000
Skoda,Superb,2016,104 100 km,1 798 cm3,Benzina,15 500
Skoda,Octavia,2016,234 000 km,1 598 cm3,Diesel,9 500
Skoda,Superb Combi,2017,235 000 km,1 968 cm3,Diesel,15 700
Skoda,Kamiq,2024,7 km,1 498 cm3,Benzina,29 750
Skoda,Kodiaq,2024,1 km,1 968 cm3,Diesel,43 505
Skoda,Superb,2016,127 000 km,1 968 cm3,Diesel,15 900
Skoda,Octavia,2021,193 000 km,1 968 cm3,Diesel,15 990
Skoda,Octavia,2017,184 750 km,1 968 cm3,Diesel,13 900
Skoda,Superb Combi,2024,1 km,1 968 cm3,Diesel,42 280
Skoda,Superb,2018,180 000 km,1 598 cm3,Diesel,12 990
Skoda,Superb,2016,197 989 km,1 968 cm3,Diesel,15 950
Skoda,Superb Combi,2019,151 000 km,1 968 cm3,Diesel,16 660
Skoda,Octavia,2019,150 267 km,1 598 cm3,Diesel,15 400
Skoda,Fabia,2022,22 992 km,999 cm3,Benzina,15 652
Skoda,Fabia,2023,12 797 km,999 cm3,Benzina,15 300
Skoda,Kodiaq,2023,3 585 km,1 984 cm3,Benzina,54 000
Skoda,Octavia,2017,280 850 km,1 968 cm3,Diesel,12 490
Skoda,Octavia,2015,238 035 km,1 598 cm3,Diesel,8 450
Skoda,Fabia,2023,23 842 km,999 cm3,Benzina,16 880
Skoda,Octavia,2017,196 050 km,1 968 cm3,Diesel,13 490
Skoda,Octavia,2018,202 799 km,999 cm3,Benzina,10 890
Skoda,Fabia,2022,17 036 km,999 cm3,Benzina,15 990
Skoda,Octavia Combi,2019,150 571 km,1 968 cm3,Diesel,21 500
Skoda,Octavia,2022,26 800 km,1 498 cm3,Benzina,26 800
Skoda,Superb,2022,15 001 km,1 395 cm3,Hibrid,41 990
Skoda,Octavia,2017,221 000 km,1 968 cm3,Diesel,11 500
Skoda,Superb,2019,115 000 km,1 968 cm3,Diesel,18 750
Skoda,Superb Combi,2018,157 000 km,1 984 cm3,Benzina,21 000
Skoda,Octavia,2004,170 000 km,1 595 cm3,Benzina,1 900
Skoda,Octavia,2018,126 500 km,1 598 cm3,Diesel,12 900
Skoda,Octavia,2016,289 000 km,1 968 cm3,Diesel,12 499
Skoda,Octavia,2012,115 000 km,1 197 cm3,Benzina,6 199
Skoda,Octavia Combi,2013,233 500 km,1 968 cm3,Diesel,5 995
Skoda,Octavia,2014,223 000 km,1 598 cm3,Diesel,8 499
Skoda,Octavia,2019,235 000 km,1 598 cm3,Diesel,13 000
Skoda,Octavia,2016,259 123 km,1 598 cm3,Diesel,7 600
Skoda,Octavia,2016,167 000 km,1 598 cm3,Diesel,9 800
Skoda,Octavia Combi,2006,180 235 km,1 595 cm3,Benzina,3 750
Skoda,Kodiaq,2020,175 594 km,1 968 cm3,Diesel,27 500
Skoda,Octavia,2019,212 000 km,2 000 cm3,Diesel,12 500
Skoda,RAPID,2019,150 803 km,999 cm3,Benzina,9 900
Skoda,Superb,2019,193 280 km,1 968 cm3,Diesel,19 990
Skoda,Superb,2015,145 157 km,1 968 cm3,Diesel,20 950
Skoda,Octavia,2018,223 000 km,1 968 cm3,Diesel,14 500
