Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
Audi,A4 Avant,2014,261 000 km,1 968 cm3,Diesel,10 299
Audi,A4 Avant,2013,222 000 km,1 968 cm3,Diesel,9 450
Audi,A4,2016,210 000 km,1 968 cm3,Diesel,10 900
Audi,A4,2013,195 000 km,1 968 cm3,Diesel,11 000
Audi,A4 Avant,2020,99 800 km,1 984 cm3,Benzina,23 500
Audi,A4,2013,229 000 km,1 968 cm3,Diesel,9 350
Audi,A4,2015,272 062 km,1 968 cm3,Diesel,14 500
Audi,A4,2008,220 000 km,2 698 cm3,Diesel,7 600
Audi,A4,2013,296 453 km,1 968 cm3,Diesel,12 000
Audi,A4,2018,101 000 km,1 968 cm3,Diesel,18 990
Audi,A4,2010,190 100 km,1 968 cm3,Diesel,8 850
Audi,A5 Sportback,2018,67 526 km,1 968 cm3,Diesel,26 800
Audi,A5,2011,271 000 km,2 698 cm3,Diesel,9 400
Audi,A5,2011,133 174 km,1 984 cm3,Benzina,8 990
Audi,A5 Sportback,2019,110 000 km,1 968 cm3,Diesel,27 991
Audi,A5 Coupe,2020,30 000 km,1 984 cm3,Benzina + GPL,24 990
Audi,A5,2014,218 860 km,2 967 cm3,Diesel,12 150
Audi,A5 Cabrio,2016,127 500 km,1 968 cm3,Diesel,19 990
Audi,A5,2012,224 653 km,1 968 cm3,Diesel,12 490
Audi,A5,2018,94 548 km,2 967 cm3,Diesel,28 900
Audi,A5,2012,262 000 km,1 968 cm3,Diesel,14 999
Audi,A5 Sportback,2020,29 931 km,1 984 cm3,Benzina,34 500
Audi,A5,2019,38 500 km,1 968 cm3,Diesel,28 500
Audi,A5,2020,63 662 km,1 968 cm3,Diesel,29 498
Audi,A5 Sportback,2017,198 800 km,1 968 cm3,Diesel,20 900
Audi,A5,2012,248 000 km,1 968 cm3,Diesel,14 999
Audi,A5 Sportback,2018,168 000 km,1 968 cm3,Diesel,23 990
Audi,A5 Sportback,2019,92 063 km,1 968 cm3,Diesel,31 900
Audi,A5 Coupe,2017,317 000 km,1 968 cm3,Diesel,18 300
Audi,A5 Sportback,2012,246 000 km,2 967 cm3,Diesel,12 800
Audi,A5 Sportback,2018,115 000 km,1 968 cm3,Diesel,26 500
Audi,A5 Sportback,2011,230 000 km,1 968 cm3,Diesel,12 499
Audi,A5,2023,3 500 km,1 984 cm3,Benzina,49 997
Audi,A5 Sportback,2019,119 372 km,1 968 cm3,Diesel,24 900
Audi,A5 Sportback,2017,189 000 km,1 968 cm3,Diesel,19 900
Audi,A5 Sportback,2018,180 000 km,1 968 cm3,Diesel,24 650
Audi,A5 Sportback,2021,56 000 km,1 984 cm3,Benzina,37 400
Audi,A5 Sportback,2014,245 768 km,1 968 cm3,Diesel,15 500
Audi,A5,2012,176 000 km,1 968 cm3,Diesel,13 490
Audi,A5,2015,160 500 km,1 968 cm3,Diesel,16 500
Audi,A5 Coupe,2013,231 000 km,1 968 cm3,Diesel,11 700
Audi,A5 Coupe,2009,305 570 km,1 984 cm3,Benzina,9 950
Audi,A6,2009,217 500 km,2 698 cm3,Diesel,7 600
Audi,A6,2019,200 000 km,2 967 cm3,Diesel,27 500
Audi,A6,2010,269 015 km,1 968 cm3,Diesel,8 500
Audi,A6 Avant,2012,212 000 km,2 967 cm3,Diesel,13 700
Audi,A6 Avant,2017,266 487 km,1 968 cm3,Diesel,17 500
Audi,A6,2016,174 000 km,1 968 cm3,Diesel,20 900
Audi,A6 Avant,2019,236 000 km,2 967 cm3,Diesel,29 250
Audi,A6,2020,154 000 km,1 968 cm3,Diesel,31 999
Audi,A6,2019,95 315 km,1 968 cm3,Diesel,29 999
Audi,A6,2018,72 000 km,2 967 cm3,Diesel,34 049
Audi,A6,2016,60 000 km,2 967 cm3,Diesel,27 000
Audi,A6 Avant,2016,195 700 km,1 968 cm3,Diesel,19 990
Audi,A6,2014,122 602 km,1 968 cm3,Diesel,19 900
Audi,A6,2012,214 000 km,2 967 cm3,Diesel,14 300
Audi,A6,2006,347 971 km,2 698 cm3,Diesel,3 590
Audi,A6,2011,328 500 km,1 968 cm3,Diesel,8 690
Audi,A6,2019,229 832 km,2 967 cm3,Diesel,32 999
Audi,A6,2021,19 472 km,2 995 cm3,Hibrid,56 990
Audi,A6,2021,7 826 km,1 984 cm3,Hibrid Plug-In,62 899
Audi,A6,2017,179 000 km,1 968 cm3,Diesel,19 900
Audi,A6 Avant,2014,242 000 km,1 968 cm3,Diesel,13 000
Audi,A6,2014,174 000 km,1 968 cm3,Diesel,19 500
Audi,A6,2020,117 000 km,1 968 cm3,Diesel,32 400
Audi,A6,2017,208 000 km,2 967 cm3,Diesel,18 500
Audi,A6 Avant,2018,210 000 km,1 968 cm3,Diesel,19 990
Audi,A6,2010,174 000 km,1 968 cm3,Diesel,6 590
Audi,A6 Avant,2017,262 672 km,1 968 cm3,Diesel,18 990
Audi,A6,2017,160 000 km,1 798 cm3,Benzina,22 500
Audi,A6,2017,80 000 km,1 968 cm3,Diesel,19 700
Audi,A7,2019,98 750 km,2 967 cm3,Diesel,43 900
Audi,A7,2011,36 617 km,2 967 cm3,Diesel,32 500
Audi,A7,2011,257 000 km,2 967 cm3,Diesel,13 500
Audi,A7,2013,151 930 km,2 967 cm3,Diesel,15 999
Audi,A7,2019,163 398 km,2 967 cm3,Diesel,43 450
Audi,A7,2018,69 500 km,2 967 cm3,Diesel,44 900
Audi,A7,2018,209 000 km,2 967 cm3,Diesel,29 900
Audi,A7,2019,126 500 km,2 967 cm3,Diesel,48 500
Audi,A7,2019,109 500 km,2 967 cm3,Diesel,45 000
Audi,A7,2020,68 550 km,2 995 cm3,Benzina,54 990
Audi,A7,2012,173 441 km,2 967 cm3,Diesel,14 000
Audi,A7,2017,102 000 km,2 967 cm3,Diesel,17 500
Audi,A7,2016,190 000 km,2 967 cm3,Diesel,25 499
Audi,A7,2022,24 978 km,2 995 cm3,Benzina,66 899
Audi,A7,2018,128 000 km,2 967 cm3,Diesel,48 000
Audi,A7,2021,46 856 km,1 984 cm3,Hibrid Plug-In,47 800
